cust_id,name,city,state,email,age,member,Channel
854, Milo Thomas,Tempe,AZ, MiloThomas@aol.com,12,yes,email news blast
848, Genevieve gunnersan,West Jordan,UT, Genevievegunnersan@aol.com,13,yes,google search
4,Sofia Phillips,Knoxville,TN,SofiaPhillips@gmail.com,53,yes,tv show
650, Aubrey Turner,Pittsburgh,PA, AubreyTurner@gmail.com,19,no,google search
124, Eva Edwards,Modesto,CA, EvaEdwards@gmail.com,12,yes,referred by someone
250, Ezra Davis,Manchester,NH, EzraDavis@gmail.com,36,yes,tv show
712, William Scott,Ann Arbor,MI, WilliamScott@gmail.com,54,no,tv show
932, Jude Long,Goodyear,AZ, JudeLong@yahoo.com,31,yes,tv show
872,Arya Ryans,Edinburg,TX,AryaRyans@yahoo.com,53,yes,tik tok
241, Ivy Anderson,Athens ,GA, IvyAnderson@gmail.com,12,yes,instagram
43, Ariel Perez,Dallas,TX, ArielPerez@gmail.com,43,no,referred by someone
1001, Caroline Bennett,Berkeley,CA, CarolineBennett@yahoo.com,40,yes,tv show
621, Wesley Hill,Greensboro,NC, WesleyHill@gmail.com,50,no,tik tok
24, Tate Lafleur,Edinburg,TX, TateLafleur@gmail.com,9,no,tv show
51, Luca Roberts,Kansas City,KS, LucaRoberts@gmail.com,49,no,tv show
504, Lucas Phillips,Tulsa,OK, LucasPhillips@gmail.com,28,yes,tv show
741, Soren Williams,Mesa,AZ, SorenWilliams@gmail.com,27,no,tv show
969, Elsie Harris,Tyler,TX, ElsieHarris@yahoo.com,22,yes,tv show
14, Sage Morgan,Kent,WA, SageMorgan@gmail.com,27,no,email news blast
149, William Baker,Tuscaloosa,AL, WilliamBaker@gmail.com,23,yes,email news blast
156, Samuel Chavez,Sacramento,CA, SamuelChavez@gmail.com,43,yes,email news blast
207, Cora Sanchez,Buffalo,NY, CoraSanchez@gmail.com,41,yes,email news blast
254, Adalyn Lewis,South Bend,IN, AdalynLewis@gmail.com,23,yes,email news blast
272, Jackson Martin,Vacaville,CA, JacksonMartin@gmail.com,14,no,email news blast
491, Benjamin Kim,Seattle,WA, BenjaminKim@gmail.com,27,yes,email news blast
526, Kieran Wang,Ann Arbor,MI, KieranWang@gmail.com,46,yes,email news blast
593, Hunter Duncan,San Mateo,CA, HunterDuncan@gmail.com,28,yes,email news blast
18, Matilda Smith,Suffolk,VA, MatildaSmith@gmail.com,9,no,google search
52, Josephine gunderson,Rialto,CA, Josephinegunderson@gmail.com,22,no,google search
81, Jackson Chung,Torrance,CA, JacksonChung@gmail.com,48,no,google search
425,Aiden Won,Springfield,IL,AidenWon@gmail.com,50,yes,google search
458, Camden Won,Meridian,ID, CamdenWon@gmail.com,17,yes,google search
883, Avery Allen,Palm Coast,FL, AveryAllen@yahoo.com,27,yes,google search
914,Killian Bennett,San Jose,CA,KillianBennett@yahoo.com,36,yes,google search
1141, Akira Young,Chicago,IL, AkiraYoung@hotmail.com,15,No,google search
50, Archie Edwards,Greeley,CO, ArchieEdwards@gmail.com,44,no,instagram
130, Scarlett guthrie,Odessa,TX, Scarlettguthrie@gmail.com,9,yes,instagram
152, Levi Campbell,Norman,OK, LeviCampbell@gmail.com,47,yes,instagram
177, Lucy Walker,Los Angeles,CA, LucyWalker@gmail.com,9,yes,instagram
227, Adeline Bennett,Lee's Summit,MO, AdelineBennett@gmail.com,34,yes,instagram
707, Poppy Garcia,St. George,UT, PoppyGarcia@gmail.com,30,no,instagram
958, Fiona Garcia,Brownsville,TX, FionaGarcia@yahoo.com,30,yes,instagram
965, Dylan Taylor,Rancho Cucamonga,CA, DylanTaylor@yahoo.com,46,yes,instagram
261, Atlas Wallace,South Bend,IN, AtlasWallace@gmail.com,51,no,referred by someone
329, Lorelei Hernandez,Downey,CA, LoreleiHernandez@gmail.com,31,yes,referred by someone
343, Dakota Scott,Fontana,CA, DakotaScott@gmail.com,31,yes,referred by someone
509, William Peterson,Dayton,OH, WilliamPeterson@gmail.com,33,yes,referred by someone
552, Elowen Murphy,Frisco,TX, ElowenMurphy@gmail.com,40,yes,referred by someone
674, Cadence Bennett,Worcester,MA, CadenceBennett@gmail.com,27,no,referred by someone
754, Daphne Chung,New Orleans,LA, DaphneChung@gmail.com,37,no,referred by someone
1011, Jane Thompson,Tucson,AZ, JaneThompson@yahoo.com,27,yes,referred by someone
1060, Lydia Phillips,Gresham,OR, LydiaPhillips@hotmail.com,14,yes,referred by someone
362, Akira Lafleur,Boston,MA, AkiraLafleur@gmail.com,45,yes,tv show
813, Dorian Parker,San Buenaventura ,CA, DorianParker@gmail.com,8,yes,tv show
859, Eliza Thompson,Quincy,MA, ElizaThompson@aol.com,44,yes,tv show
897, Logan Roberts,Houston,TX, LoganRoberts@yahoo.com,53,yes,tv show
217, Alaric Kelly,Naperville,IL, AlaricKelly@gmail.com,48,yes,tik tok
331, Blair Harris,Sterling Heights,MI, BlairHarris@gmail.com,49,yes,tik tok
679, Genevieve Roberts,Honolulu ,HI, GenevieveRoberts@gmail.com,39,no,tik tok
787, Ethan Griffin,Ontario,CA, EthanGriffin@gmail.com,40,yes,tik tok
855, Harper Thomas,Lexington ,KY, HarperThomas@aol.com,14,yes,tik tok
41, Logan Tomlin,Antioch,CA, LoganTomlin@gmail.com,43,no,tv show
76, Maddox Edwards,Norman,OK, MaddoxEdwards@gmail.com,54,no,tv show
94, Ethan Allen,Richmond,VA, EthanAllen@gmail.com,44,no,tv show
99, Valerie Rodriguez,Broken Arrow,OK, ValerieRodriguez@gmail.com,16,no,tv show
107, Riley Rodriguez,Honolulu ,HI, RileyRodriguez@gmail.com,16,no,tv show
118, Noah Wallace,Charleston,SC, NoahWallace@gmail.com,8,yes,tv show
170, Evan Simmons,Sunrise Manor,NV, EvanSimmons@gmail.com,20,yes,tv show
171, Cameron Kim,Olathe,KS, CameronKim@gmail.com,8,yes,tv show
197, Matilda Sanchez,San Diego,CA, MatildaSanchez@gmail.com,20,yes,tv show
220, Mason Jenkins,Bakersfield,CA, MasonJenkins@gmail.com,53,yes,tv show
233, Celeste Garcia,Richmond,VA, CelesteGarcia@gmail.com,26,yes,tv show
234, Winter Sanchez,Westminster,CO, WinterSanchez@gmail.com,22,yes,tv show
252, Echo Long,Cape Coral,FL, EchoLong@gmail.com,50,yes,tv show
263, Evangeline Tang,Gainesville,FL, EvangelineTang@gmail.com,23,no,tv show
351, Elliott Lee,Palmdale,CA, ElliottLee@gmail.com,36,yes,tv show
389, Clementine Campbell,Thousand Oaks,CA, ClementineCampbell@gmail.com,32,yes,tv show
390, Lorelei Brooks,Ann Arbor,MI, LoreleiBrooks@gmail.com,42,yes,tv show
416, Eva Davis,Glendale,AZ, EvaDavis@gmail.com,54,yes,tv show
434,Norah Hughes,Davie,FL,NorahHughes@gmail.com,53,yes,tv show
459, Rowan Lee,Hartford,CT, RowanLee@gmail.com,14,yes,tv show
462, Cadence Johnson,Murfreesboro,TN, CadenceJohnson@gmail.com,46,yes,tv show
479, Daisy Smith,St. Louis,MO, DaisySmith@gmail.com,31,yes,tv show
496, Autumn Peterson,Topeka,KS, AutumnPeterson@gmail.com,8,yes,tv show
497, Axel Won,Costa Mesa,CA, AxelWon@gmail.com,12,yes,tv show
551, Saoirse guthrie,Nampa,ID, Saoirseguthrie@gmail.com,54,yes,tv show
582, Cora Hernandez,Springfield,IL, CoraHernandez@gmail.com,14,yes,tv show
586, Otto Hernandez,Louisville ,KY, OttoHernandez@gmail.com,15,yes,tv show
615, Axel Chavez,Carlsbad,CA, AxelChavez@gmail.com,35,no,tv show
629, Wesley Jackson,Savannah,GA, WesleyJackson@gmail.com,32,no,tv show
662, Wesley Perez,Oceanside,CA, WesleyPerez@gmail.com,11,no,tv show
684, Oliver Lewis,Paterson,NJ, OliverLewis@gmail.com,24,no,tv show
708, Arden Campbell,College Station,TX, ArdenCampbell@gmail.com,48,no,tv show
761, Ainsley Moore,Pembroke Pines,FL, AinsleyMoore@gmail.com,12,no,tv show
764, Genevieve Murray,Tacoma,WA, GenevieveMurray@gmail.com,50,no,tv show
766, Camille Williams,Springfield,IL, CamilleWilliams@gmail.com,21,no,tv show
804, Winter gunthers,Laredo,TX, Wintergunthers@gmail.com,36,yes,tv show
827, Callahan Edwards,Fayetteville,AR, CallahanEdwards@gmail.com,18,yes,tv show
833, Acorn Jenkins,Ontario,CA, AcornJenkins@aol.com,45,yes,tv show
865, Phoenix Simmons,Pearland,TX, PhoenixSimmons@aol.com,44,yes,tv show
869, Camden Lee,Billings,MT, CamdenLee@yahoo.com,18,yes,tv show
906, Cyrus Wilson,Tulsa,OK, CyrusWilson@yahoo.com,38,yes,tv show
925, Phoenix Day,Metairie,LA, PhoenixDay@yahoo.com,41,yes,tv show
942, Hazel Nelson,Washington,DC, HazelNelson@yahoo.com,24,yes,tv show
948, Axel Perez,Grand Prairie,TX, AxelPerez@yahoo.com,50,yes,tv show
1004, Lucy Kelly,West Covina,CA, LucyKelly@yahoo.com,34,yes,tv show
1082, Nathaniel Cooper,Pearland,TX, NathanielCooper@hotmail.com,30,yes,tv show
10, Everett Edwards,Torrance,CA, EverettEdwards@gmail.com,50,no,email news blast
88,Norah Peterson,St. Petersburg,FL,NorahPeterson@gmail.com,25,yes,email news blast
168, Sebastian Won,New Haven,CT, SebastianWon@gmail.com,46,yes,email news blast
289, Dahlia Harris,Richmond,VA, DahliaHarris@gmail.com,12,no,email news blast
